entity,type,notes
Aj Raxa Laq,COSMIC_PERSON,He/She of the Blue/Green Plate
Aj Raxa Tzel,COSMIC_PERSON,He/She of the Blue/Green Bowl
Alom,DEITY,Female generative principle
B'itol,DEITY,Shaper deity
Cabrakan,MYTHOLOGICAL_BEING,Earthquake deity, son of Vucub Caquix
Ch'ipi Kaqulja,DEITY,Little Thunderbolt
Hun Hunahpu,MYTHOLOGICAL_PERSON,Father of Hero Twins
Iq'i B'alam,MYTHOLOGICAL_PERSON,One of the first four humans
I’yom,DEITY,Midwife/Grandmother spirit
Jun Kame,DEITY,One Death, lord of Xib’alb’a
Jun Raqan,DEITY,Aspect of Heart of Sky
Junajpu,MYTHOLOGICAL_PERSON,One of the Hero Twins
Junajpu Utiw,MYTHOLOGICAL_PERSON,Hunahpu Coyote
Junajpu Wuch’,MYTHOLOGICAL_PERSON,Hunahpu Possum
K'ajolom,DEITY,Male generative principle
Kaqulja Jun Raqan,DEITY,One-Legged Thunderbolt
Mamom,DEITY,Grandfather figure
Q'ukumatz,DEITY,Feathered serpent creator deity
Q’umarkaj,PLACE,K’iche’ capital
Raxa Kaqulja,DEITY,Sudden Thunderbolt
Saqi Nim Aq,MYTHOLOGICAL_BEING,White Great Peccary
Sis,MYTHOLOGICAL_BEING,Coati
Tepew,DEITY,Sovereign creator deity
Tinamit K’iche’,PLACE,K’iche’ citadel
Tohil,DEITY,God of fire and patron of K’iche’
Tulan,MYTHICAL_PLACE,Place of origin across the sea
Uk'ux Cho,COSMIC_PLACE,Heart of Lake
Uk'ux Kaj,DEITY,Heart of Sky
Uk'ux Palo,COSMIC_PLACE,Heart of Sea
Vucub Caquix,MYTHOLOGICAL_BEING,False sun deity
Vucub Hunahpu,MYTHOLOGICAL_PERSON,Uncle of Hero Twins
Wuqub’ Kame,DEITY,Seven Death, lord of Xib’alb’a
Xb’alanqe,MYTHOLOGICAL_PERSON,One of the Hero Twins
Xib’alb’a,PLACE,Underworld realm
Xkik’,MYTHOLOGICAL_PERSON,Virgin mother of the Hero Twins
Xpiyakok,DEITY,Grandfather deity and daykeeper
Xmukane,DEITY,Grandmother deity and midwife
Zipacna,MYTHOLOGICAL_BEING,Son of Vucub Caquix
