chunk_80_id,cluster_label,cluster_letter
1,4,A
2,4,A
3,4,A
4,4,A
5,4,A
6,4,A
7,1,B
8,1,B
9,1,B
10,1,B
11,1,B
12,1,B
13,1,B
14,1,B
15,1,B
16,2,C
17,2,C
18,2,C
19,2,C
20,2,C
21,2,C
22,2,C
23,2,C
24,2,C
25,2,C
26,2,C
27,2,C
28,2,C
29,2,C
30,2,C
31,2,C
32,2,C
33,2,C
34,2,C
35,2,C
36,2,C
37,2,C
38,2,C
39,2,C
40,2,C
41,2,C
42,2,C
43,2,C
44,2,C
45,4,A
46,4,A
47,4,A
48,4,A
49,4,A
50,3,D
51,3,D
52,3,D
53,3,D
54,3,D
55,3,D
56,3,D
57,3,D
58,3,D
59,3,D
60,3,D
61,3,D
62,3,D
63,3,D
64,3,D
65,3,D
66,3,D
67,3,D
68,3,D
69,3,D
70,5,E
71,5,E
72,5,E
73,5,E
74,5,E
75,5,E
76,5,E
77,5,E
78,5,E
79,5,E
80,5,E
