doc_id,n_tokens
0,368
1,368
2,367
3,368
4,368
5,368
6,367
7,366
8,366
9,367
10,367
11,365
12,367
13,368
14,368
15,367
16,367
17,366
18,366
19,366
20,366
21,367
22,367
23,367
24,367
25,367
26,367
27,366
28,364
29,366
30,367
31,366
32,367
33,367
34,364
35,367
36,366
37,366
38,366
39,366
40,364
41,366
42,367
43,367
44,366
45,365
46,367
47,365
48,367
49,367
50,366
51,365
52,367
53,367
54,367
55,365
56,366
57,367
58,367
59,366
60,366
61,367
62,366
63,366
64,367
65,367
66,367
67,367
68,366
69,367
70,365
71,367
72,367
73,367
74,367
75,367
76,367
77,366
78,366
79,366
