doc_id,A,B,C,D
0,0.9991655163509475,1.350679914690555,1.3386099492015195,1.3236922917331875
1,1.0116610069201857,1.3346641158801082,1.3246890588574152,1.3485025536908648
2,1.0076005247520878,1.336190309102833,1.3296801243970884,1.3378537279246292
3,1.016361230511606,1.3126495242246328,1.308752266206806,1.3319989272301342
4,1.2978804415641307,1.2351243446589295,1.3427890615531708,1.358514167133162
5,1.3276659411315743,1.237054792835705,1.3496773818968957,1.3344066459311261
6,1.3293033634405353,1.2499698311549852,1.3616754779099691,1.3724128556540602
7,1.3486737834251705,1.2326349307015154,1.3432640884868188,1.3716983553435291
8,1.311290710289591,1.2106367752616387,1.3178312168057904,1.3403069579830293
9,1.3053034741676446,1.2185722625716562,1.3321156982523112,1.3474613178518406
10,1.3585973964240488,1.243617629794973,1.3664041669235618,1.3352242689734442
11,1.3439729513118117,1.2148099457557144,1.3456489212011684,1.344866179805532
12,1.324321625202958,1.2134634858638942,1.3341718161222162,1.3432577587553032
13,1.3243980469853642,1.2217272153895564,1.3312973554440224,1.326469005210656
14,1.3286308227688695,1.234717324335344,1.3506397368168648,1.3674706878024243
15,1.3448317733907411,1.2337395044226764,1.3379273084547485,1.356017856017417
16,1.326934944703347,1.233729948485742,1.3453742109525437,1.365066572316113
17,1.3190871662107684,1.2471513813616988,1.3103386802172692,1.346304305679242
18,1.3437643841655467,1.2555047168815927,1.355864619226367,1.3786929060267215
19,1.36779498315559,1.2452609345905084,1.3631423790992345,1.3667058646655708
20,1.3483902701329387,1.2173006848041286,1.349078984278625,1.3667272563087323
21,1.355909842091876,1.2188366819566352,1.3483395487314822,1.355252290397221
22,1.355264191535458,1.2222266662159795,1.3544294770813274,1.3643977562556138
23,1.3378169905031925,1.2118978502463547,1.3090788047621775,1.3547628235577094
24,1.3244668649402955,1.211522668904326,1.337418120884828,1.3524226928231842
25,1.3266549729708226,1.2080978524033597,1.3189936869183538,1.3336504133526266
26,1.334039417121309,1.218291128860211,1.3324913696704963,1.289959428688839
27,1.2823596570026456,1.2373409656374796,1.3149788451415316,1.2981135599192748
28,1.0111880215402211,1.3237557136380695,1.3089653526366054,1.3249366994878695
29,0.9902670086146318,1.3338989261228587,1.2495649986027582,1.3043561358462805
30,1.218492643791548,1.3335438081066078,1.0854532573218616,1.2615915514013338
31,1.322323566945357,1.3446352870340263,1.02513601475105,1.2973967401140656
32,1.3204814977823458,1.3341935333129025,1.0294525694760406,1.3250790907313608
33,1.281294627173467,1.323429488444291,1.0569971832610234,1.2684332401859073
34,1.3184475081022191,1.3494891434454164,1.031114334265962,1.2898712711379974
35,1.2954462005356868,1.3392330909028136,1.086050598593786,1.2996148087315793
36,1.3166221739980557,1.3391962751058422,1.1054070883986429,1.2959365769304971
37,1.339641709021781,1.3529269042274492,1.065738178302299,1.3011969323089645
38,1.3475289845942562,1.3381071285834103,1.11238089547443,1.3060494749059208
39,1.3505999203485477,1.3461901336816948,1.101253067130366,1.303497115439163
40,1.304615137004494,1.3363351646506,1.0502648560259964,1.2833564379005433
41,1.315139778759794,1.3441533219500996,1.0431921036849556,1.266033027894366
42,1.299933376730532,1.3347593221720577,1.1223017203403336,1.2701660330593174
43,1.3351148381064109,1.3517224372749634,1.248267595847654,1.0040446398798262
44,1.339117157060315,1.34776426365221,1.2957672975856436,0.9910198582154948
45,1.3486721329252305,1.3423140687149573,1.312074989120325,0.9511047309099648
46,1.3112769557847346,1.3382401833171282,1.2776225576657394,0.9988499890364935
47,1.3149292880917118,1.3511233237712033,1.2950028971150116,0.9848874422806124
48,1.293727935998214,1.3450302584500025,1.2540929240058187,1.0140431852622518
49,1.3570587505985092,1.3651026933681438,1.3462145159818937,0.9910428794479612
