chunk_80_id,n_tokens
1,339
2,339
3,339
4,339
5,339
6,339
7,339
8,339
9,338
10,338
11,339
12,339
13,338
14,339
15,339
16,339
17,339
18,339
19,339
20,339
21,339
22,339
23,339
24,338
25,339
26,339
27,339
28,339
29,339
30,339
31,339
32,339
33,339
34,339
35,339
36,339
37,339
38,339
39,339
40,339
41,339
42,339
43,339
44,339
45,339
46,339
47,338
48,339
49,339
50,339
51,339
52,339
53,338
54,338
55,338
56,338
57,338
58,338
59,338
60,338
61,338
62,338
63,338
64,338
65,338
66,338
67,338
68,338
69,338
70,338
71,338
72,338
73,338
74,338
75,338
76,338
77,336
78,338
79,338
80,338
